"Disaster#","Type","County","State","Latitude","Longitude","Damage","Approved","Repair","Population","IncomeCapita","DisasterBegin","DisasterEnd","Duration"
1971,"Severe Storm","Marshall","Alabama",34.367,-86.3066,468614.48,116003.84,101089.45,96137,20382,2011-04-15,2011-05-31,46
4655,"Flood","Park","Montana",45.4884,-110.5267,2901.34,12532.99,11078.99,16513,24611,2022-06-10,2022-07-05,25
4637,"Tornado","Cheatham","Tennessee",36.2612,-87.0868,7753.23,14653.23,6344.23,40539,23459,2021-12-10,2021-12-11,1
4633,"Tornado","Jackson","Arkansas",35.5992,-91.2145,199.5,199.5,0,16908,15609,2021-12-10,2021-12-11,1
4630,"Tornado","Lyon","Kentucky",37.0191,-88.0833,0,0,0,8226,22123,2021-12-10,2021-12-11,1
4618,"Hurricane","Bucks","Pennsylvania",40.337,-75.1069,92390.42,52031.76,42999.73,627668,37466,2021-08-31,2021-09-05,5
4615,"Hurricane","Westchester","New York",41.1624,-73.7561,1111258.75,1028292.94,883744.61,968738,47984,2021-09-01,2021-09-03,2
4614,"Hurricane","Mercer","New Jersey",40.2834,-74.7018,31515.34,31169.55,26938.68,368085,37465,2021-09-01,2021-09-03,2
4626,"Hurricane","Harrison","Mississippi",30.5122,-89.1161,0,0,0,206169,22677,2021-08-28,2021-09-01,4
4617,"Hurricane","Haywood","North Carolina",35.556,-82.9822,0,0,0,61862,24536,2021-08-16,2021-08-18,2
4611,"Hurricane","Iberia","Louisiana",29.8965,-91.7301,1480.97,2258,0,70763,22997,2021-08-26,2021-09-03,8
4610,"Fire","Lassen","California",40.6736,-120.5943,0,0,0,30600,19931,2021-07-14,2021-10-25,103
4634,"Fire","Boulder","Colorado",40.0925,-105.3577,0,0,0,324682,38011,2021-12-30,2022-01-07,8
4606,"Flood","Lafayette","Louisiana",30.2068,-92.0639,59868.23,57398.07,33260.32,243692,28901,2021-05-17,2021-05-21,4
4605,"Flood","Cabell","West Virginia",38.4203,-82.2417,0,0,0,93328,23647,2021-02-27,2021-03-04,5
1981,"Flood","Renville","North Dakota",48.719,-101.6578,582919.88,407487.22,387815.22,2387,31178,2011-02-14,2011-07-20,156
4595,"Flood","Jessamine","Kentucky",37.8721,-84.5809,13350.01,328.1,328.1,53476,25637,2021-02-27,2021-03-14,15
4601,"Tornado","Williamson","Tennessee",35.8938,-86.8987,10322.4,12426.9,8891.39,232380,41292,2021-03-25,2021-04-03,9
4590,"Severe Ice Storm","Catahoula","Louisiana",31.6662,-91.847,6000.72,7216.72,4762.59,9586,19970,2021-02-11,2021-02-19,8
4587,"Severe Ice Storm","Lincoln","Oklahoma",35.703,-96.8809,0,0,0,34936,21888,2021-02-08,2021-02-20,12
4586,"Severe Ice Storm","Hamilton","Texas",31.7048,-98.1107,0,0,0,8434,23067,2021-02-11,2021-02-21,10
